PSRC/art,PSRC/art/film,PSRC/astral_body,PSRC/award,PSRC/biology,PSRC/body_part,PSRC/broadcast,PSRC/broadcast/tv_channel,PSRC/broadcast_network,PSRC/broadcast_program,PSRC/building,PSRC/building/airport,PSRC/building/dam,PSRC/building/hospital,PSRC/building/hotel,PSRC/building/library,PSRC/building/power_station,PSRC/building/restaurant,PSRC/building/sports_facility,PSRC/building/theater,PSRC/chemistry,PSRC/computer,PSRC/computer/algorithm,PSRC/computer/programming_language,PSRC/disease,PSRC/education,PSRC/education/department,PSRC/education/educational_degree,PSRC/event,PSRC/event/attack,PSRC/event/election,PSRC/event/military_conflict,PSRC/event/natural_disaster,PSRC/event/protest,PSRC/event/sports_event,PSRC/event/terrorist_attack,PSRC/finance,PSRC/finance/currency,PSRC/finance/stock_exchange,PSRC/food,PSRC/game,PSRC/geography,PSRC/geography/glacier,PSRC/geography/island,PSRC/geography/mountain,PSRC/god,PSRC/government,PSRC/government/government,PSRC/government/political_party,PSRC/government_agency,PSRC/internet,PSRC/internet/website,PSRC/language,PSRC/law,PSRC/living_thing,PSRC/living_thing/animal,PSRC/livingthing,PSRC/location,PSRC/location/body_of_water,PSRC/location/bridge,PSRC/location/cemetery,PSRC/location/city,PSRC/location/country,PSRC/location/county,PSRC/location/province,PSRC/medicine,PSRC/medicine/drug,PSRC/medicine/medical_treatment,PSRC/medicine/symptom,PSRC/metropolitan_transit,PSRC/metropolitan_transit/transit_line,PSRC/military,PSRC/music,PSRC/news_agency,PSRC/newspaper,PSRC/organization,PSRC/organization/airline,PSRC/organization/company,PSRC/organization/educational_institution,PSRC/organization/fraternity_sorority,PSRC/organization/sports_league,PSRC/organization/sports_team,PSRC/organization/terrorist_organization,PSRC/park,PSRC/people,PSRC/people/ethnicity,PSRC/person,PSRC/person/actor,PSRC/person/architect,PSRC/person/artist,PSRC/person/athlete,PSRC/person/author,PSRC/person/coach,PSRC/person/director,PSRC/person/doctor,PSRC/person/engineer,PSRC/person/monarch,PSRC/person/musician,PSRC/person/politician,PSRC/person/religious_leader,PSRC/person/soldier,PSRC/person/terrorist,PSRC/play,PSRC/product,PSRC/product/airplane,PSRC/product/camera,PSRC/product/car,PSRC/product/computer,PSRC/product/engine_device,PSRC/product/instrument,PSRC/product/mobile_phone,PSRC/product/ship,PSRC/product/spacecraft,PSRC/product/weapon,PSRC/rail,PSRC/rail/railway,PSRC/religion,PSRC/religion/religion,PSRC/software,PSRC/time,PSRC/title,PSRC/train,PSRC/transit,PSRC/transportation,PSRC/transportation/road,PSRC/visual_art,PSRC/visual_art/color,PSRC/written_work,PTGT/ANIMAL,PTGT/CONTACT_INFO,PTGT/CONTACT_INFO/url,PTGT/DISEASE,PTGT/EVENT,PTGT/EVENT/HURRICANE,PTGT/EVENT/WAR,PTGT/FACILITY,PTGT/FACILITY/AIRPORT,PTGT/FACILITY/ATTRACTION,PTGT/FACILITY/BRIDGE,PTGT/FACILITY/BUILDING,PTGT/FACILITY/HIGHWAY_STREET,PTGT/GAME,PTGT/GPE,PTGT/GPE/CITY,PTGT/GPE/COUNTRY,PTGT/GPE/STATE_PROVINCE,PTGT/LANGUAGE,PTGT/LAW,PTGT/LOCATION,PTGT/LOCATION/CONTINENT,PTGT/LOCATION/LAKE_SEA_OCEAN,PTGT/LOCATION/REGION,PTGT/LOCATION/RIVER,PTGT/ORGANIZATION,PTGT/ORGANIZATION/CORPORATION,PTGT/ORGANIZATION/EDUCATIONAL,PTGT/ORGANIZATION/GOVERNMENT,PTGT/ORGANIZATION/HOSPITAL,PTGT/ORGANIZATION/HOTEL,PTGT/ORGANIZATION/MUSEUM,PTGT/ORGANIZATION/POLITICAL,PTGT/ORGANIZATION/RELIGIOUS,PTGT/PERSON,PTGT/PLANT,PTGT/PRODUCT,PTGT/PRODUCT/VEHICLE,PTGT/PRODUCT/WEAPON,PTGT/SUBSTANCE,PTGT/SUBSTANCE/CHEMICAL,PTGT/SUBSTANCE/DRUG,PTGT/SUBSTANCE/FOOD,PTGT/WORK_OF_ART,PTGT/WORK_OF_ART/BOOK,PTGT/WORK_OF_ART/PLAY,PTGT/WORK_OF_ART/SONG

_:nPSRC/living_thing/animal,PTGT/ANIMAL
_:nPSRC/disease,PTGT/DISEASE
_:nPSRC/event,PTGT/EVENT
_:nPSRC/event/natural_disaster,PTGT/EVENT/HURRICANE
_:nPSRC/event/military_conflict,PTGT/EVENT/WAR
_:nPSRC/location,PTGT/FACILITY
_:nPSRC/building/airport,PTGT/FACILITY/AIRPORT
_:nPSRC/location,PTGT/FACILITY/ATTRACTION
_:nPSRC/location/bridge,PTGT/FACILITY/BRIDGE
_:nPSRC/building,PTGT/FACILITY/BUILDING
_:nPSRC/transportation/road,PTGT/FACILITY/HIGHWAY_STREET
_:nPSRC/game,PTGT/GAME
_:nPSRC/location/city,PTGT/GPE/CITY
_:nPSRC/location/country,PTGT/GPE/COUNTRY
_:nPSRC/location/province,PTGT/GPE/STATE_PROVINCE
_:nPSRC/language,PTGT/LANGUAGE
_:nPSRC/law,PTGT/LAW
_:nPSRC/location,PTGT/LOCATION
_:nPSRC/location,PTGT/LOCATION/CONTINENT
_:nPSRC/location/body_of_water,PTGT/LOCATION/LAKE_SEA_OCEAN
_:nPSRC/location,PTGT/LOCATION/REGION
_:nPSRC/location/body_of_water,PTGT/LOCATION/RIVER
_:nPSRC/organization,PTGT/ORGANIZATION
_:nPSRC/organization/company,PTGT/ORGANIZATION/CORPORATION
_:nPSRC/organization/educational_institution,PTGT/ORGANIZATION/EDUCATIONAL
_:nPSRC/government,PTGT/ORGANIZATION/GOVERNMENT
_:nPSRC/building/hospital,PTGT/ORGANIZATION/HOSPITAL
_:nPSRC/building/hotel,PTGT/ORGANIZATION/HOTEL
_:nPSRC/organization/educational_institution,PTGT/ORGANIZATION/MUSEUM
_:nPSRC/government/political_party,PTGT/ORGANIZATION/POLITICAL
_:nPSRC/religion,PTGT/ORGANIZATION/RELIGIOUS
_:nPSRC/person,PTGT/PERSON
_:nPSRC/living_thing,PTGT/PLANT
_:nPSRC/product,PTGT/PRODUCT
_:nPSRC/product,PTGT/PRODUCT/VEHICLE
_:nPSRC/product/weapon,PTGT/PRODUCT/WEAPON
_:nPSRC/food,PTGT/SUBSTANCE/FOOD
_:nPSRC/art,PTGT/WORK_OF_ART
_:nPSRC/written_work,PTGT/WORK_OF_ART/BOOK
_:nPSRC/play,PTGT/WORK_OF_ART/PLAY
_:nPSRC/music,PTGT/WORK_OF_ART/SONG
