metric,projector,instance,precision,recall,f1
test_metropolitan_transit-transit_line/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_education-educational_degree/macro_types,classifier_adapter_bert_ms,0,1.0,1,1.0
test_visual_art-color/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_medicine-symptom/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_organization-sports_league/macro_types,classifier_adapter_bert_ms,0,1.0,0.5,0.6666666865348816
test_event-sports_event/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_product-computer/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_event-military_conflict/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_people-ethnicity/macro_types,classifier_adapter_bert_ms,0,0.2857142984867096,0.4000000059604645,0.3333333432674408
test_product-instrument/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_living_thing-animal/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_music/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_organization-fraternity_sorority/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_government_agency/macro_types,classifier_adapter_bert_ms,0,0.5714285969734192,0.5,0.5333333611488342
test_finance-stock_exchange/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_software/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_newspaper/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_location-cemetery/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_religion/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_location-county/macro_types,classifier_adapter_bert_ms,0,0.06666667014360428,1,0.125
test_building-power_station/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_internet/macro_types,classifier_adapter_bert_ms,0,1.0,1.0,1.0
test_visual_art/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_geography-island/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-director/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_metropolitan_transit/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_religion-religion/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_event/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_product/macro_types,classifier_adapter_bert_ms,0,0.5,0.5,0.5
test_astral_body/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-restaurant/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_award/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-doctor/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_transportation/macro_types,classifier_adapter_bert_ms,0,0.800000011920929,1.0,0.888888955116272
test_park/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_game/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building/macro_types,classifier_adapter_bert_ms,0,0.48571428656578064,1.0,0.6538461446762085
test_living_thing/macro_types,classifier_adapter_bert_ms,0,1,0.3333333432674408,0.5
test_person-terrorist/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_language/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_law/macro_types,classifier_adapter_bert_ms,0,0.5,1.0,0.6666666865348816
test_computer/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-athlete/macro_types,classifier_adapter_bert_ms,0,0.6000000238418579,0.8181818127632141,0.6923076510429382
test_disease/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-soldier/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-theater/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-airport/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-hospital/macro_types,classifier_adapter_bert_ms,0,0.6666666865348816,1.0,0.800000011920929
test_event-terrorist_attack/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_broadcast-tv_channel/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_people/macro_types,classifier_adapter_bert_ms,0,0.3333333432674408,0.4000000059604645,0.3636363744735718
test_medicine-drug/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_medicine-medical_treatment/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_written_work/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_art/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-actor/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_geography/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_internet-website/macro_types,classifier_adapter_bert_ms,0,1.0,1.0,1.0
test_product-airplane/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_biology/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_broadcast/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-library/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_livingthing/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-country/macro_types,classifier_adapter_bert_ms,0,1,0.25,0.4000000059604645
test_art-film/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-sports_facility/macro_types,classifier_adapter_bert_ms,0,1.0,0.20000000298023224,0.3333333134651184
test_location/macro_types,classifier_adapter_bert_ms,0,0.8703703880310059,0.4607843160629273,0.6025640964508057
test_finance/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_computer-algorithm/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_building-hotel/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_medicine/macro_types,classifier_adapter_bert_ms,0,0.5,1,0.6666666865348816
test_organization-sports_team/macro_types,classifier_adapter_bert_ms,0,0.9333333373069764,0.4516128897666931,0.6086956262588501
test_organization-educational_institution/macro_types,classifier_adapter_bert_ms,0,0.8571428656578064,0.260869562625885,0.4000000059604645
test/micro,classifier_adapter_bert_ms,0,0.6928571462631226,0.5773809552192688,0.6298701167106628
test_person-musician/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_location-body_of_water/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_location-province/macro_types,classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-engineer/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-author/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-monarch/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_event-natural_disaster/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_location-city/macro_types,classifier_adapter_bert_ms,0,0.3333333432674408,0.025641025975346565,0.0476190485060215
test_rail-railway/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_military/macro_types,classifier_adapter_bert_ms,0,0.75,1.0,0.8571428656578064
test_geography-glacier/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_time/macro_types,classifier_adapter_bert_ms,0,0.8064516186714172,0.9615384340286256,0.8771929740905762
test_product-ship/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_geography-mountain/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_person-architect/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_play/macro_types,classifier_adapter_bert_ms,0,0,0,0
test_finance-currency/macro_types,classifier_adapter_bert_ms,0,0,0,0
