src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.694,0.622,0.656,0.677,0.554,0.609,0.543,0.506,0.524
BBN,L2AWE,0.675,0.572,0.619,0.665,0.501,0.571,0.444,0.418,0.431
BBN,classifier,0.647,0.546,0.592,0.637,0.481,0.548,0.499,0.424,0.458
BBN,kenn bottom up,0.648,0.551,0.596,0.637,0.485,0.55,0.451,0.401,0.425
BBN,kenn cross,0.627,0.565,0.595,0.608,0.508,0.554,0.503,0.455,0.478
BBN,kenn cross bottom up,0.641,0.568,0.602,0.618,0.506,0.556,0.48,0.435,0.456
BBN,kenn cross hybrid,0.631,0.565,0.596,0.609,0.502,0.55,0.496,0.447,0.47
BBN,kenn cross top down,0.591,0.543,0.566,0.578,0.49,0.53,0.484,0.46,0.472
BBN,kenn hybrid,0.62,0.546,0.581,0.606,0.483,0.537,0.462,0.43,0.446
BBN,kenn top down,0.594,0.52,0.555,0.59,0.465,0.52,0.477,0.446,0.461
OntoNotes,L2AWE,0.724,0.614,0.664,0.711,0.54,0.614,0.458,0.446,0.452
OntoNotes,classifier,0.702,0.608,0.652,0.692,0.536,0.604,0.465,0.44,0.452
OntoNotes,kenn bottom up,0.714,0.618,0.663,0.699,0.546,0.613,0.458,0.442,0.45
OntoNotes,kenn cross,0.699,0.624,0.659,0.682,0.559,0.614,0.491,0.468,0.479
OntoNotes,kenn cross bottom up,0.716,0.633,0.672,0.698,0.565,0.625,0.528,0.457,0.49
OntoNotes,kenn cross hybrid,0.687,0.625,0.654,0.664,0.559,0.607,0.504,0.472,0.487
OntoNotes,kenn cross top down,0.652,0.604,0.627,0.632,0.539,0.582,0.505,0.476,0.49
OntoNotes,kenn hybrid,0.672,0.606,0.637,0.655,0.538,0.591,0.471,0.469,0.47
OntoNotes,kenn top down,0.628,0.575,0.6,0.617,0.512,0.56,0.496,0.461,0.478
