src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.445,0.267,0.334,0.452,0.291,0.354,0.303,0.249,0.273
FIGER,L2AWE,0.577,0.429,0.491,0.615,0.463,0.528,0.481,0.473,0.477
FIGER,classifier,0.701,0.58,0.635,0.706,0.586,0.641,0.526,0.583,0.553
FIGER,kenn bottom up,0.692,0.582,0.632,0.7,0.59,0.64,0.564,0.58,0.572
FIGER,kenn cross,0.722,0.648,0.683,0.711,0.649,0.678,0.527,0.617,0.569
FIGER,kenn cross bottom up,0.719,0.646,0.68,0.707,0.646,0.675,0.549,0.615,0.58
FIGER,kenn cross hybrid,0.733,0.661,0.695,0.722,0.658,0.688,0.519,0.646,0.576
FIGER,kenn cross top down,0.725,0.653,0.687,0.717,0.65,0.682,0.484,0.648,0.554
FIGER,kenn hybrid,0.704,0.615,0.656,0.713,0.614,0.66,0.513,0.621,0.562
FIGER,kenn top down,0.709,0.616,0.659,0.719,0.617,0.664,0.491,0.628,0.551
OntoNotes,L2AWE,0.634,0.508,0.563,0.684,0.551,0.61,0.5,0.514,0.507
OntoNotes,classifier,0.689,0.576,0.627,0.73,0.603,0.66,0.517,0.549,0.532
OntoNotes,kenn bottom up,0.685,0.575,0.625,0.724,0.598,0.655,0.535,0.54,0.537
OntoNotes,kenn cross,0.697,0.619,0.655,0.732,0.644,0.685,0.508,0.576,0.54
OntoNotes,kenn cross bottom up,0.697,0.616,0.654,0.732,0.637,0.681,0.526,0.563,0.544
OntoNotes,kenn cross hybrid,0.713,0.635,0.672,0.741,0.648,0.691,0.482,0.587,0.529
OntoNotes,kenn cross top down,0.696,0.628,0.66,0.729,0.647,0.685,0.468,0.602,0.527
OntoNotes,kenn hybrid,0.702,0.617,0.656,0.736,0.632,0.68,0.482,0.574,0.524
OntoNotes,kenn top down,0.68,0.603,0.639,0.723,0.626,0.671,0.47,0.592,0.524
