src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.688,0.588,0.634,0.683,0.512,0.585,0.434,0.406,0.419
BBN,L2AWE,0.681,0.56,0.615,0.672,0.485,0.563,0.414,0.382,0.397
BBN,classifier,0.644,0.537,0.586,0.631,0.468,0.537,0.455,0.361,0.403
BBN,kenn bottom up,0.655,0.544,0.594,0.641,0.473,0.545,0.403,0.343,0.37
BBN,kenn cross,0.644,0.557,0.597,0.62,0.49,0.548,0.476,0.388,0.427
BBN,kenn cross bottom up,0.652,0.552,0.598,0.628,0.485,0.547,0.449,0.369,0.405
BBN,kenn cross hybrid,0.646,0.556,0.598,0.622,0.488,0.547,0.47,0.382,0.422
BBN,kenn cross top down,0.606,0.524,0.562,0.588,0.464,0.519,0.483,0.402,0.439
BBN,kenn hybrid,0.623,0.525,0.569,0.606,0.456,0.52,0.433,0.362,0.394
BBN,kenn top down,0.593,0.497,0.541,0.58,0.437,0.498,0.482,0.393,0.433
OntoNotes,L2AWE,0.731,0.603,0.661,0.717,0.513,0.598,0.38,0.364,0.372
OntoNotes,classifier,0.699,0.597,0.644,0.69,0.516,0.591,0.45,0.39,0.418
OntoNotes,kenn bottom up,0.676,0.582,0.625,0.666,0.5,0.571,0.424,0.391,0.407
OntoNotes,kenn cross,0.714,0.626,0.667,0.698,0.554,0.618,0.503,0.419,0.457
OntoNotes,kenn cross bottom up,0.71,0.618,0.661,0.694,0.543,0.609,0.499,0.417,0.454
OntoNotes,kenn cross hybrid,0.692,0.613,0.65,0.67,0.538,0.597,0.497,0.426,0.459
OntoNotes,kenn cross top down,0.687,0.615,0.649,0.664,0.544,0.598,0.506,0.439,0.47
OntoNotes,kenn hybrid,0.671,0.596,0.631,0.653,0.518,0.578,0.443,0.423,0.432
OntoNotes,kenn top down,0.661,0.587,0.622,0.647,0.512,0.571,0.481,0.428,0.453
