src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.295,0.162,0.209,0.296,0.179,0.223,0.143,0.088,0.109
FIGER,L2AWE,0.567,0.379,0.454,0.593,0.415,0.488,0.474,0.397,0.432
FIGER,classifier,0.698,0.579,0.633,0.687,0.58,0.629,0.513,0.547,0.53
FIGER,kenn bottom up,0.699,0.593,0.641,0.689,0.596,0.639,0.538,0.551,0.544
FIGER,kenn cross,0.716,0.649,0.681,0.689,0.647,0.667,0.526,0.6,0.56
FIGER,kenn cross bottom up,0.716,0.649,0.681,0.687,0.648,0.667,0.538,0.598,0.567
FIGER,kenn cross hybrid,0.734,0.672,0.702,0.71,0.668,0.688,0.518,0.628,0.568
FIGER,kenn cross top down,0.714,0.654,0.683,0.695,0.651,0.673,0.493,0.623,0.55
FIGER,kenn hybrid,0.728,0.64,0.681,0.722,0.637,0.676,0.519,0.598,0.556
FIGER,kenn top down,0.704,0.611,0.654,0.707,0.612,0.656,0.487,0.601,0.538
OntoNotes,L2AWE,0.615,0.44,0.513,0.658,0.484,0.558,0.505,0.453,0.478
OntoNotes,classifier,0.684,0.545,0.607,0.72,0.571,0.637,0.496,0.51,0.503
OntoNotes,kenn bottom up,0.685,0.553,0.612,0.72,0.576,0.64,0.526,0.506,0.515
OntoNotes,kenn cross,0.69,0.595,0.639,0.72,0.619,0.665,0.497,0.537,0.517
OntoNotes,kenn cross bottom up,0.69,0.594,0.638,0.72,0.615,0.663,0.519,0.533,0.526
OntoNotes,kenn cross hybrid,0.707,0.623,0.662,0.733,0.636,0.681,0.499,0.554,0.525
OntoNotes,kenn cross top down,0.688,0.606,0.645,0.722,0.626,0.671,0.473,0.568,0.516
OntoNotes,kenn hybrid,0.699,0.604,0.648,0.733,0.618,0.67,0.501,0.54,0.52
OntoNotes,kenn top down,0.677,0.583,0.626,0.719,0.607,0.658,0.477,0.562,0.516
