src,projector,macro_example/p,macro_example/r,macro_example/f1,micro/p,micro/r,micro/f1,macro_types/p,macro_types/r,macro_types/f1
-,-,0.633,0.592,0.612,0.597,0.506,0.548,0.249,0.173,0.204
BBN,L2AWE,0.695,0.617,0.654,0.668,0.543,0.599,0.373,0.234,0.288
BBN,classifier,0.678,0.618,0.647,0.649,0.55,0.596,0.376,0.27,0.314
BBN,kenn bottom up,0.669,0.631,0.649,0.635,0.561,0.596,0.374,0.274,0.317
BBN,kenn cross,0.654,0.625,0.639,0.616,0.563,0.588,0.353,0.3,0.324
BBN,kenn cross bottom up,0.658,0.629,0.643,0.621,0.568,0.593,0.354,0.292,0.32
BBN,kenn cross hybrid,0.647,0.619,0.633,0.612,0.558,0.584,0.355,0.305,0.328
BBN,kenn cross top down,0.634,0.604,0.619,0.603,0.548,0.574,0.331,0.321,0.326
BBN,kenn hybrid,0.664,0.619,0.64,0.632,0.556,0.591,0.361,0.294,0.324
BBN,kenn top down,0.654,0.604,0.628,0.628,0.542,0.582,0.326,0.307,0.316
FIGER,L2AWE,0.702,0.633,0.666,0.674,0.551,0.606,0.367,0.261,0.305
FIGER,classifier,0.738,0.682,0.709,0.704,0.608,0.652,0.452,0.384,0.415
FIGER,kenn bottom up,0.745,0.706,0.725,0.702,0.626,0.662,0.46,0.369,0.409
FIGER,kenn cross,0.73,0.71,0.72,0.691,0.646,0.668,0.463,0.438,0.45
FIGER,kenn cross bottom up,0.74,0.725,0.732,0.692,0.655,0.673,0.479,0.413,0.443
FIGER,kenn cross hybrid,0.734,0.71,0.722,0.688,0.639,0.663,0.455,0.422,0.438
FIGER,kenn cross top down,0.717,0.692,0.704,0.677,0.629,0.652,0.43,0.46,0.444
FIGER,kenn hybrid,0.738,0.698,0.718,0.696,0.622,0.657,0.442,0.398,0.419
FIGER,kenn top down,0.72,0.675,0.697,0.686,0.603,0.642,0.431,0.43,0.43
